Fe-rich	Fe-rich	S-Fe	S-Fe
0.88	10	0.88	2
0.89	17	0.89	2
0.9	20	0.9	4
0.91	27	0.91	4
0.92	31	0.92	6
0.93	48	0.93	6
0.94	34	0.94	4
0.95	30	0.95	5
0.96	24	0.96	3
0.97	20	0.97	4
0.98	14	0.98	3
0.99	15	0.99	5
1	16	1	5
1.01	16	1.01	4
1.02	17	1.02	3
1.03	22	1.03	4
1.04	29	1.04	6
1.05	18	1.05	4
1.06	13	1.06	4
1.07	9	1.07	1
1.08	12	1.08	3
1.09	11	1.09	2
1.1	10	1.1	3
1.11	7	1.11	3
1.12	5	1.12	1
1.13	5	1.13	1
1.14	6	1.14	0
1.15	8	1.15	3
1.16	14	1.16	2
1.17	11	1.17	0
1.18	11	1.18	0
1.19	10	1.19	1
1.2	12	1.2	3
1.21	7	1.21	4
1.22	12	1.22	1
1.23	12	1.23	0
1.24	6	1.24	1
1.25	7	1.25	1
1.26	13	1.26	0
1.27	13	1.27	2
1.28	12	1.28	2
1.29	11	1.29	3
1.3	6	1.3	2
1.31	8	1.31	0
1.32	11	1.32	2
1.33	14	1.33	1
1.34	14	1.34	0
1.35	6	1.35	1
1.36	8	1.36	1
1.37	6	1.37	1
1.38	8	1.38	3
1.39	8	1.39	1
1.4	9	1.4	0
1.41	15	1.41	0
1.42	10	1.42	2
1.43	11	1.43	2
1.44	10	1.44	3
1.45	8	1.45	2
1.46	11	1.46	1
1.47	15	1.47	4
1.48	14	1.48	3
1.49	11	1.49	1
1.5	9	1.5	3
1.51	11	1.51	3
1.52	11	1.52	2
1.53	8	1.53	3
1.54	9	1.54	2
1.55	10	1.55	1
1.56	10	1.56	1
1.57	7	1.57	0
1.58	11	1.58	0
1.59	12	1.59	0
1.6	7	1.6	0
1.61	7	1.61	2
1.62	7	1.62	2
1.63	12	1.63	3
1.64	13	1.64	2
1.65	7	1.65	1
1.66	6	1.66	0
1.67	8	1.67	1
1.68	11	1.68	1
1.69	11	1.69	4
1.7	12	1.7	5
1.71	14	1.71	7
1.72	15	1.72	11
1.73	14	1.73	14
1.74	18	1.74	10
1.75	17	1.75	5
1.76	19	1.76	3
1.77	16	1.77	7
1.78	7	1.78	2
1.79	13	1.79	3
1.8	14	1.8	3
1.81	12	1.81	1
1.82	10	1.82	3
1.83	11	1.83	2
1.84	10	1.84	2
1.85	9	1.85	3
1.86	8	1.86	2
1.87	5	1.87	1
1.88	4	1.88	2
1.89	8	1.89	1
1.9	5	1.9	2
1.91	6	1.91	1
1.92	7	1.92	0
1.93	14	1.93	1
1.94	7	1.94	1
1.95	9	1.95	2
1.96	9	1.96	1
1.97	7	1.97	0
1.98	8	1.98	1
1.99	10	1.99	0
2	5	2	2
2.01	7	2.01	1
2.02	5	2.02	2
2.03	8	2.03	2
2.04	9	2.04	1
2.05	8	2.05	0
2.06	6	2.06	3
2.07	5	2.07	2
2.08	9	2.08	1
2.09	6	2.09	1
2.1	9	2.1	1
2.11	6	2.11	1
2.12	7	2.12	2
2.13	8	2.13	5
2.14	13	2.14	9
2.15	10	2.15	14
2.16	8	2.16	20
2.17	14	2.17	25
2.18	11	2.18	35
2.19	8	2.19	54
2.2	8	2.2	62
2.21	7	2.21	73
2.22	11	2.22	96
2.23	8	2.23	112
2.24	8	2.24	125
2.25	10	2.25	153
2.26	9	2.26	177
2.27	5	2.27	189
2.28	11	2.28	193
2.29	9	2.29	208
2.3	9	2.3	210
2.31	11	2.31	206
2.32	9	2.32	175
2.33	10	2.33	136
2.34	10	2.34	106
2.35	9	2.35	80
2.36	7	2.36	52
2.37	8	2.37	26
2.38	8	2.38	13
2.39	7	2.39	9
2.4	6	2.4	7
2.41	8	2.41	8
2.42	8	2.42	7
2.43	4	2.43	7
2.44	5	2.44	9
2.45	6	2.45	7
2.46	4	2.46	8
2.47	9	2.47	8
2.48	7	2.48	7
2.49	7	2.49	4
2.5	6	2.5	2
2.51	9	2.51	5
2.52	7	2.52	5
2.53	8	2.53	3
2.54	5	2.54	1
2.55	6	2.55	1
2.56	5	2.56	0
2.57	4	2.57	2
2.58	8	2.58	3
2.59	5	2.59	2
2.6	6	2.6	0
2.61	6	2.61	1
2.62	7	2.62	0
2.63	8	2.63	1
2.64	5	2.64	0
2.65	5	2.65	0
2.66	9	2.66	1
2.67	6	2.67	1
2.68	6	2.68	0
2.69	4	2.69	0
2.7	5	2.7	0
2.71	5	2.71	1
2.72	6	2.72	0
2.73	4	2.73	2
2.74	3	2.74	2
2.75	4	2.75	1
2.76	8	2.76	1
2.77	6	2.77	0
2.78	6	2.78	1
2.79	7	2.79	1
2.8	5	2.8	1
2.81	5	2.81	0
2.82	7	2.82	1
2.83	9	2.83	0
2.84	6	2.84	0
2.85	5	2.85	0
2.86	4	2.86	0
2.87	4	2.87	1
2.88	6	2.88	1
2.89	7	2.89	0
2.9	7	2.9	0
2.91	6	2.91	0
2.92	4	2.92	0
2.93	3	2.93	0
2.94	4	2.94	0
2.95	7	2.95	0
2.96	6	2.96	1
2.97	7	2.97	0
2.98	5	2.98	0
2.99	5	2.99	0
3	5	3	0
3.01	7	3.01	1
3.02	8	3.02	1
3.03	6	3.03	0
3.04	7	3.04	0
3.05	7	3.05	0
3.06	5	3.06	1
3.07	5	3.07	1
3.08	4	3.08	1
3.09	5	3.09	0
3.1	1	3.1	1
3.11	3	3.11	1
3.12	5	3.12	0
3.13	4	3.13	0
3.14	3	3.14	0
3.15	8	3.15	1
3.16	4	3.16	1
3.17	4	3.17	0
3.18	5	3.18	0
3.19	7	3.19	1
3.2	5	3.2	1
3.21	6	3.21	2
3.22	4	3.22	1
3.23	2	3.23	2
3.24	4	3.24	1
3.25	5	3.25	1
3.26	6	3.26	1
3.27	8	3.27	2
3.28	7	3.28	3
3.29	8	3.29	3
3.3	11	3.3	4
3.31	13	3.31	5
3.32	13	3.32	6
3.33	11	3.33	5
3.34	7	3.34	5
3.35	11	3.35	4
3.36	14	3.36	4
3.37	10	3.37	4
3.38	8	3.38	3
3.39	6	3.39	3
3.4	4	3.4	2
3.41	5	3.41	1
3.42	2	3.42	0
3.43	3	3.43	0
3.44	2	3.44	0
3.45	4	3.45	0
3.46	4	3.46	0
3.47	5	3.47	0
3.48	5	3.48	0
3.49	4	3.49	0
3.5	5	3.5	0
3.51	6	3.51	2
3.52	8	3.52	1
3.53	4	3.53	0
3.54	3	3.54	2
3.55	3	3.55	2
3.56	4	3.56	1
3.57	6	3.57	0
3.58	4	3.58	2
3.59	2	3.59	3
3.6	1	3.6	4
3.61	2	3.61	1
3.62	3	3.62	2
3.63	5	3.63	1
3.64	4	3.64	0
3.65	4	3.65	1
3.66	4	3.66	1
3.67	4	3.67	1
3.68	5	3.68	1
3.69	6	3.69	0
3.7	5	3.7	0
3.71	2	3.71	0
3.72	6	3.72	1
3.73	6	3.73	0
3.74	3	3.74	1
3.75	5	3.75	0
3.76	3	3.76	1
3.77	3	3.77	1
3.78	2	3.78	0
3.79	3	3.79	0
3.8	2	3.8	0
3.81	4	3.81	0
3.82	2	3.82	1
3.83	3	3.83	0
3.84	4	3.84	1
3.85	3	3.85	1
3.86	2	3.86	1
3.87	4	3.87	0
3.88	3	3.88	1
3.89	4	3.89	0
3.9	3	3.9	0
3.91	1	3.91	0
3.92	2	3.92	1
3.93	4	3.93	1
3.94	4	3.94	0
3.95	5	3.95	0
3.96	4	3.96	0
3.97	4	3.97	0
3.98	4	3.98	0
3.99	4	3.99	0
4	4	4	0
4.01	3	4.01	0
4.02	5	4.02	2
4.03	4	4.03	1
4.04	3	4.04	0
4.05	4	4.05	2
4.06	3	4.06	1
4.07	4	4.07	0
4.08	4	4.08	1
4.09	2	4.09	2
4.1	2	4.1	1
4.11	2	4.11	0
4.12	6	4.12	1
4.13	5	4.13	0
4.14	4	4.14	0
4.15	6	4.15	0
4.16	6	4.16	0
4.17	4	4.17	0
4.18	3	4.18	0
4.19	2	4.19	0
4.2	2	4.2	1
4.21	4	4.21	0
4.22	2	4.22	0
4.23	2	4.23	0
4.24	3	4.24	0
4.25	3	4.25	1
4.26	2	4.26	0
4.27	4	4.27	0
4.28	4	4.28	2
4.29	1	4.29	1
4.3	4	4.3	0
4.31	4	4.31	0
4.32	4	4.32	1
4.33	3	4.33	0
4.34	5	4.34	1
4.35	4	4.35	0
4.36	3	4.36	1
4.37	2	4.37	0
4.38	4	4.38	0
4.39	6	4.39	0
4.4	2	4.4	0
4.41	2	4.41	0
4.42	5	4.42	2
4.43	2	4.43	1
4.44	2	4.44	0
4.45	3	4.45	0
4.46	5	4.46	0
4.47	7	4.47	0
4.48	2	4.48	0
4.49	3	4.49	0
4.5	3	4.5	1
4.51	1	4.51	0
4.52	2	4.52	0
4.53	3	4.53	1
4.54	2	4.54	0
4.55	4	4.55	1
4.56	4	4.56	0
4.57	3	4.57	1
4.58	3	4.58	0
4.59	5	4.59	0
4.6	5	4.6	0
4.61	4	4.61	1
4.62	4	4.62	1
4.63	4	4.63	1
4.64	9	4.64	0
4.65	9	4.65	0
4.66	8	4.66	0
4.67	4	4.67	0
4.68	5	4.68	0
4.69	5	4.69	0
4.7	5	4.7	0
4.71	2	4.71	1
4.72	3	4.72	1
4.73	6	4.73	1
4.74	8	4.74	0
4.75	4	4.75	0
4.76	5	4.76	1
4.77	4	4.77	0
4.78	3	4.78	0
4.79	4	4.79	0
4.8	3	4.8	1
4.81	6	4.81	0
4.82	3	4.82	0
4.83	5	4.83	0
4.84	3	4.84	1
4.85	4	4.85	0
4.86	3	4.86	1
4.87	3	4.87	0
4.88	5	4.88	0
4.89	4	4.89	0
4.9	1	4.9	1
4.91	4	4.91	0
4.92	3	4.92	0
4.93	1	4.93	0
4.94	4	4.94	0
4.95	4	4.95	2
4.96	4	4.96	1
4.97	3	4.97	2
4.98	4	4.98	1
4.99	5	4.99	1
5	4	5	0
5.01	2	5.01	0
5.02	3	5.02	0
5.03	4	5.03	0
5.04	3	5.04	0
5.05	7	5.05	0
5.06	6	5.06	0
5.07	4	5.07	0
5.08	2	5.08	0
5.09	3	5.09	0
5.1	2	5.1	0
5.11	2	5.11	0
5.12	2	5.12	0
5.13	3	5.13	1
5.14	2	5.14	0
5.15	2	5.15	0
5.16	2	5.16	0
5.17	1	5.17	0
5.18	3	5.18	1
5.19	4	5.19	0
5.2	3	5.2	1
5.21	4	5.21	0
5.22	3	5.22	0
5.23	5	5.23	1
5.24	3	5.24	0
5.25	3	5.25	0
5.26	5	5.26	0
5.27	7	5.27	1
5.28	4	5.28	0
5.29	5	5.29	0
5.3	5	5.3	2
5.31	8	5.31	1
5.32	5	5.32	0
5.33	5	5.33	0
5.34	1	5.34	1
5.35	5	5.35	0
5.36	6	5.36	1
5.37	11	5.37	1
5.38	9	5.38	1
5.39	6	5.39	1
5.4	4	5.4	1
5.41	8	5.41	0
5.42	5	5.42	1
5.43	6	5.43	2
5.44	7	5.44	1
5.45	9	5.45	1
5.46	7	5.46	0
5.47	5	5.47	0
5.48	4	5.48	0
5.49	5	5.49	1
5.5	4	5.5	2
5.51	3	5.51	1
5.52	4	5.52	0
5.53	5	5.53	0
5.54	4	5.54	0
5.55	2	5.55	0
5.56	5	5.56	1
5.57	3	5.57	0
5.58	4	5.58	0
5.59	4	5.59	0
5.6	3	5.6	1
5.61	3	5.61	0
5.62	2	5.62	0
5.63	4	5.63	0
5.64	5	5.64	0
5.65	5	5.65	0
5.66	3	5.66	1
5.67	4	5.67	1
5.68	4	5.68	1
5.69	3	5.69	0
5.7	5	5.7	0
5.71	2	5.71	0
5.72	3	5.72	0
5.73	5	5.73	0
5.74	3	5.74	1
5.75	1	5.75	0
5.76	3	5.76	0
5.77	5	5.77	1
5.78	6	5.78	0
5.79	5	5.79	0
5.8	2	5.8	1
5.81	5	5.81	1
5.82	6	5.82	0
5.83	4	5.83	2
5.84	6	5.84	1
5.85	9	5.85	0
5.86	7	5.86	0
5.87	6	5.87	0
5.88	13	5.88	0
5.89	5	5.89	0
5.9	7	5.9	0
5.91	11	5.91	0
5.92	10	5.92	0
5.93	10	5.93	2
5.94	15	5.94	1
5.95	11	5.95	0
5.96	9	5.96	0
5.97	7	5.97	2
5.98	5	5.98	1
5.99	3	5.99	0
6	4	6	0
6.01	6	6.01	0
6.02	6	6.02	0
6.03	3	6.03	0
6.04	4	6.04	0
6.05	6	6.05	1
6.06	4	6.06	0
6.07	6	6.07	0
6.08	3	6.08	0
6.09	2	6.09	0
6.1	5	6.1	0
6.11	4	6.11	0
6.12	4	6.12	0
6.13	6	6.13	0
6.14	5	6.14	0
6.15	5	6.15	1
6.16	4	6.16	0
6.17	2	6.17	2
6.18	3	6.18	1
6.19	7	6.19	0
6.2	4	6.2	0
6.21	4	6.21	1
6.22	10	6.22	0
6.23	16	6.23	0
6.24	22	6.24	0
6.25	28	6.25	1
6.26	45	6.26	0
6.27	62	6.27	2
6.28	87	6.28	4
6.29	126	6.29	6
6.3	174	6.3	6
6.31	228	6.31	8
6.32	285	6.32	10
6.33	377	6.33	10
6.34	471	6.34	11
6.35	527	6.35	11
6.36	618	6.36	13
6.37	710	6.37	13
6.38	749	6.38	14
6.39	762	6.39	15
6.4	737	6.4	19
6.41	762	6.41	13
6.42	718	6.42	12
6.43	629	6.43	12
6.44	557	6.44	10
6.45	488	6.45	9
6.46	398	6.46	9
6.47	292	6.47	6
6.48	237	6.48	6
6.49	179	6.49	5
6.5	145	6.5	5
6.51	100	6.51	3
6.52	71	6.52	3
6.53	37	6.53	2
6.54	36	6.54	2
6.55	25	6.55	1
6.56	11	6.56	1
6.57	7	6.57	0
6.58	7	6.58	1
6.59	8	6.59	0
6.6	4	6.6	2
6.61	4	6.61	1
6.62	3	6.62	0
6.63	2	6.63	0
6.64	3	6.64	1
6.65	5	6.65	0
6.66	2	6.66	1
6.67	4	6.67	2
6.68	5	6.68	2
6.69	2	6.69	1
6.7	3	6.7	0
6.71	3	6.71	0
6.72	7	6.72	1
6.73	7	6.73	2
6.74	5	6.74	1
6.75	4	6.75	0
6.76	3	6.76	0
6.77	3	6.77	0
6.78	5	6.78	0
6.79	4	6.79	0
6.8	4	6.8	0
6.81	3	6.81	0
6.82	5	6.82	0
6.83	7	6.83	0
6.84	6	6.84	2
6.85	5	6.85	1
6.86	6	6.86	0
6.87	9	6.87	0
6.88	10	6.88	1
6.89	6	6.89	1
6.9	8	6.9	1
6.91	12	6.91	2
6.92	15	6.92	1
6.93	15	6.93	1
6.94	22	6.94	0
6.95	26	6.95	1
6.96	28	6.96	1
6.97	39	6.97	1
6.98	52	6.98	0
6.99	59	6.99	1
7	73	7	3
7.01	70	7.01	1
7.02	82	7.02	0
7.03	85	7.03	0
7.04	89	7.04	2
7.05	96	7.05	2
7.06	104	7.06	2
7.07	84	7.07	1
7.08	71	7.08	1
7.09	83	7.09	2
7.1	82	7.1	1
7.11	70	7.11	1
7.12	55	7.12	0
7.13	37	7.13	0
7.14	27	7.14	1
7.15	23	7.15	0
7.16	21	7.16	0
7.17	19	7.17	2
7.18	15	7.18	1
7.19	10	7.19	0
7.2	5	7.2	0
7.21	5	7.21	0
7.22	3	7.22	0
7.23	2	7.23	0
7.24	2	7.24	0
7.25	1	7.25	1
7.26	2	7.26	2
7.27	5	7.27	1
7.28	4	7.28	0
7.29	2	7.29	0
7.3	3	7.3	0
7.31	4	7.31	0
7.32	3	7.32	1
7.33	2	7.33	0
7.34	2	7.34	0
7.35	2	7.35	0
7.36	4	7.36	0
7.37	3	7.37	0
7.38	1	7.38	1
7.39	0	7.39	1
7.4	4	7.4	0
7.41	3	7.41	0
7.42	3	7.42	1
7.43	3	7.43	0
7.44	2	7.44	0
7.45	4	7.45	0
7.46	3	7.46	0
7.47	2	7.47	1
7.48	2	7.48	0
7.49	1	7.49	0
7.5	1	7.5	0
7.51	1	7.51	0
7.52	3	7.52	0
7.53	5	7.53	1
7.54	5	7.54	0
7.55	4	7.55	0
7.56	1	7.56	1
7.57	1	7.57	0
7.58	3	7.58	1
7.59	4	7.59	0
7.6	1	7.6	0
7.61	2	7.61	0
7.62	3	7.62	0
7.63	2	7.63	1
7.64	1	7.64	0
7.65	2	7.65	1
7.66	2	7.66	0
7.67	3	7.67	0
7.68	3	7.68	1
7.69	2	7.69	0
7.7	1	7.7	0
7.71	1	7.71	0
7.72	3	7.72	1
7.73	4	7.73	0
7.74	2	7.74	0
7.75	2	7.75	0
7.76	3	7.76	1
7.77	3	7.77	0
7.78	5	7.78	0
7.79	3	7.79	0
7.8	3	7.8	0
7.81	2	7.81	0
7.82	2	7.82	0
7.83	3	7.83	0
7.84	2	7.84	0
7.85	5	7.85	0
7.86	9	7.86	0
7.87	6	7.87	1
7.88	11	7.88	0
7.89	12	7.89	0
7.9	18	7.9	1
7.91	25	7.91	2
7.92	24	7.92	4
7.93	39	7.93	7
7.94	47	7.94	6
7.95	56	7.95	5
7.96	66	7.96	5
7.97	80	7.97	11
7.98	91	7.98	9
7.99	113	7.99	6
8	113	8	9
8.01	122	8.01	10
8.02	133	8.02	12
8.03	129	8.03	11
8.04	134	8.04	13
8.05	137	8.05	17
8.06	133	8.06	19
8.07	118	8.07	11
8.08	114	8.08	9
8.09	99	8.09	11
8.1	81	8.1	11
8.11	64	8.11	10
8.12	56	8.12	7
8.13	47	8.13	2
8.14	34	8.14	3
8.15	25	8.15	3
8.16	20	8.16	2
8.17	12	8.17	2
8.18	8	8.18	1
8.19	8	8.19	1
8.2	6	8.2	0
8.21	5	8.21	1
8.22	4	8.22	1
8.23	6	8.23	0
8.24	4	8.24	0
8.25	2	8.25	0
8.26	1	8.26	0
8.27	3	8.27	0
8.28	2	8.28	0
8.29	2	8.29	1
8.3	4	8.3	0
8.31	3	8.31	1
8.32	3	8.32	0
8.33	3	8.33	0
8.34	4	8.34	0
8.35	3	8.35	0
8.36	1	8.36	0
8.37	1	8.37	0
8.38	3	8.38	0
8.39	4	8.39	0
8.4	3	8.4	0
8.41	2	8.41	0
8.42	3	8.42	0
8.43	2	8.43	0
8.44	4	8.44	1
8.45	4	8.45	0
8.46	5	8.46	0
8.47	3	8.47	0
8.48	4	8.48	1
8.49	1	8.49	0
8.5	2	8.5	0
8.51	5	8.51	1
8.52	2	8.52	0
8.53	3	8.53	1
8.54	5	8.54	0
8.55	5	8.55	1
8.56	10	8.56	0
8.57	9	8.57	0
8.58	11	8.58	0
8.59	8	8.59	0
8.6	7	8.6	0
8.61	10	8.61	1
8.62	6	8.62	1
8.63	7	8.63	1
8.64	7	8.64	0
8.65	4	8.65	0
8.66	5	8.66	2
8.67	4	8.67	2
8.68	5	8.68	1
8.69	6	8.69	1
8.7	5	8.7	0
8.71	7	8.71	1
8.72	5	8.72	0
8.73	3	8.73	1
8.74	4	8.74	1
8.75	9	8.75	0
8.76	5	8.76	0
8.77	8	8.77	0
8.78	7	8.78	0
8.79	5	8.79	0
8.8	7	8.8	0
8.81	15	8.81	0
8.82	13	8.82	1
8.83	19	8.83	0
8.84	16	8.84	0
8.85	17	8.85	1
8.86	20	8.86	1
8.87	16	8.87	0
8.88	16	8.88	1
8.89	22	8.89	3
8.9	23	8.9	3
8.91	20	8.91	3
8.92	26	8.92	2
8.93	23	8.93	2
8.94	16	8.94	2
8.95	10	8.95	3
8.96	8	8.96	2
8.97	13	8.97	3
8.98	12	8.98	2
8.99	8	8.99	2
9	12	9	1
9.01	6	9.01	0
9.02	2	9.02	0
9.03	4	9.03	0
9.04	3	9.04	1
9.05	3	9.05	0
9.06	2	9.06	0
9.07	0	9.07	0
9.08	1	9.08	0
9.09	3	9.09	0
9.1	3	9.1	1
9.11	1	9.11	0
9.12	0	9.12	0
9.13	2	9.13	0
9.14	2	9.14	0
9.15	2	9.15	0
9.16	1	9.16	0
9.17	1	9.17	0
9.18	0	9.18	0
9.19	0	9.19	0
9.2	1	9.2	0
9.21	0	9.21	0
9.22	1	9.22	0
9.23	0	9.23	0
9.24	2	9.24	0
9.25	1	9.25	0
9.26	0	9.26	0
9.27	0	9.27	2
9.28	2	9.28	1
9.29	1	9.29	0
9.3	3	9.3	0
9.31	1	9.31	0
9.32	0	9.32	1
9.33	2	9.33	0
9.34	2	9.34	2
9.35	3	9.35	1
9.36	2	9.36	1
9.37	1	9.37	0
9.38	1	9.38	0
9.39	0	9.39	0
9.4	2	9.4	0
9.41	2	9.41	0
9.42	4	9.42	0
9.43	2	9.43	0
9.44	2	9.44	1
9.45	3	9.45	0
9.46	2	9.46	0
9.47	1	9.47	0
9.48	1	9.48	0
9.49	1	9.49	0
9.5	1	9.5	0
9.51	3	9.51	0
9.52	4	9.52	0
9.53	3	9.53	0
9.54	3	9.54	0
9.55	1	9.55	0
9.56	4	9.56	0
9.57	5	9.57	0
9.58	3	9.58	0
9.59	3	9.59	0
9.6	5	9.6	1
9.61	3	9.61	1
9.62	3	9.62	1
9.63	6	9.63	0
9.64	3	9.64	0
9.65	2	9.65	0
9.66	7	9.66	0
9.67	4	9.67	2
9.68	5	9.68	1
9.69	6	9.69	0
9.7	2	9.7	0
9.71	5	9.71	0
9.72	5	9.72	0
9.73	4	9.73	2
9.74	3	9.74	1
9.75	2	9.75	1
9.76	3	9.76	1
9.77	3	9.77	2
9.78	2	9.78	1
9.79	3	9.79	0
9.8	1	9.8	0
9.81	0	9.81	0
9.82	1	9.82	0
9.83	1	9.83	0
9.84	1	9.84	0
9.85	2	9.85	1
9.86	1	9.86	0
9.87	2	9.87	0
9.88	3	9.88	0
9.89	2	9.89	0
9.9	1	9.9	0
9.91	0	9.91	1
9.92	1	9.92	0
9.93	0	9.93	1
9.94	0	9.94	0
9.95	0	9.95	0
9.96	2	9.96	0
9.97	4	9.97	0
9.98	2	9.98	0
9.99	1	9.99	0
10	1	10	0
10.01	2	10.01	0
10.02	2	10.02	0
10.03	1	10.03	0
10.04	0	10.04	0
10.05	0	10.05	1
10.06	3	10.06	1
10.07	1	10.07	0
10.08	1	10.08	0
10.09	3	10.09	0
10.1	1	10.1	0
10.11	2	10.11	1
10.12	2	10.12	0
10.13	1	10.13	0
10.14	1	10.14	0
10.15	0	10.15	0
10.16	2	10.16	0
10.17	2	10.17	0
10.18	2	10.18	0
10.19	1	10.19	0
10.2	4	10.2	0
10.21	2	10.21	0
10.22	2	10.22	0
10.23	4	10.23	0
10.24	3	10.24	0
10.25	1	10.25	0
10.26	2	10.26	0
10.27	1	10.27	0
10.28	2	10.28	0
10.29	1	10.29	0
10.3	4	10.3	0
10.31	4	10.31	0
10.32	2	10.32	1
10.33	1	10.33	0
10.34	2	10.34	0
10.35	2	10.35	0
10.36	2	10.36	0
10.37	2	10.37	0
10.38	1	10.38	0
10.39	2	10.39	1
10.4	1	10.4	0
10.41	0	10.41	0
10.42	2	10.42	0
10.43	1	10.43	0
10.44	0	10.44	0
10.45	2	10.45	0
10.46	1	10.46	1
10.47	3	10.47	0
10.48	1	10.48	0
10.49	3	10.49	0
10.5	1	10.5	0
10.51	0	10.51	1
10.52	0	10.52	0
10.53	0	10.53	0
10.54	0	10.54	0
10.55	1	10.55	0
10.56	2	10.56	1
10.57	1	10.57	1
10.58	1	10.58	0
10.59	1	10.59	0
10.6	1	10.6	0
10.61	2	10.61	0
10.62	1	10.62	0
10.63	0	10.63	0
10.64	2	10.64	0
10.65	1	10.65	0
10.66	2	10.66	0
10.67	1	10.67	0
10.68	2	10.68	0
10.69	1	10.69	0
10.7	2	10.7	1
10.71	2	10.71	0
10.72	1	10.72	0
10.73	2	10.73	2
10.74	2	10.74	1
10.75	2	10.75	0
10.76	1	10.76	0
10.77	1	10.77	0
10.78	4	10.78	0
10.79	3	10.79	0
10.8	1	10.8	0
10.81	0	10.81	0
10.82	2	10.82	0
10.83	4	10.83	0
10.84	3	10.84	1
10.85	2	10.85	0
10.86	1	10.86	1
10.87	3	10.87	0
10.88	2	10.88	0
10.89	1	10.89	0
10.9	0	10.9	0
10.91	2	10.91	0
10.92	1	10.92	0
10.93	2	10.93	0
10.94	1	10.94	0
10.95	3	10.95	0
10.96	1	10.96	0
10.97	1	10.97	0
10.98	1	10.98	0
10.99	1	10.99	0
11	1	11	1
11.01	0	11.01	0
11.02	1	11.02	0
11.03	0	11.03	0
11.04	2	11.04	0
11.05	2	11.05	0
11.06	0	11.06	0
11.07	2	11.07	0
11.08	1	11.08	0
11.09	1	11.09	1
11.1	1	11.1	0
11.11	0	11.11	1
11.12	1	11.12	0
11.13	3	11.13	0
11.14	2	11.14	0
11.15	0	11.15	0
11.16	0	11.16	0
11.17	1	11.17	0
11.18	2	11.18	0
11.19	2	11.19	0
11.2	1	11.2	0
11.21	0	11.21	0
11.22	1	11.22	0
11.23	1	11.23	1
11.24	0	11.24	0
11.25	1	11.25	0
11.26	2	11.26	0
11.27	1	11.27	0
11.28	0	11.28	0
11.29	0	11.29	0
11.3	1	11.3	0
11.31	3	11.31	0
11.32	4	11.32	0
11.33	2	11.33	0
11.34	3	11.34	0
11.35	5	11.35	0
11.36	3	11.36	0
11.37	3	11.37	0
11.38	2	11.38	1
11.39	2	11.39	0
11.4	2	11.4	1
11.41	3	11.41	0
11.42	3	11.42	0
